Nom|Autor|Puntuacio|Num_resenyes|Categoria|Preu|Paginas|Editor|Idioma|ISBN-10|ISBN-13|Coleccion|Edad recomendada
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|June & Lucy Kids|4,2 de un máximo de 5 estrellas|91|Tapa blanda|5,99 €|92 páginas|June & Lucy (31 de agosto de 2019)|Español|164608070X|978-1646080700||
La chica de nieve|Javier Castillo|4,4 de un máximo de 5 estrellas|95|Tapa blanda|17,95 €|512 páginas|SUMA; Edición: 001 (12 de marzo de 2020)|Español|8491292667|978-8491292661||
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Pegasus Coloring Book|4,5 de un máximo de 5 estrellas|184|Tapa blanda|6,99 €|168 páginas|CreateSpace Independent Publishing Platform (17 de octubre de 2018)|Español|1729502148|978-1729502143||
El caso del castillo encantado (Serie Los BuscaPistas 1)|Teresa Blanch|4,6 de un máximo de 5 estrellas|437|Tapa blanda|5,65 €|96 páginas|Montena; Edición: 001 (6 de junio de 2018)|Español|8415580703|978-8415580706||7 años y más
Reina roja (La Trama)|Juan Gómez-Jurado|4,5 de un máximo de 5 estrellas|2.935|Tapa dura|19,85 €|568 páginas|B (Ediciones B); Edición: 001 (8 de noviembre de 2018)|Español|8466664416|978-8466664417||
Mandalas Para Meditar: Libro De Colorear Para Adultos|Papeterie Bleu|4,5 de un máximo de 5 estrellas|181|Tapa blanda|6,59 €|66 páginas|CreateSpace Independent Publishing Platform (15 de junio de 2016)|Español|1533680000|978-1533680006||
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Ramón Rubio Silvestre|4,9 de un máximo de 5 estrellas|28|Tapa blanda|2,84 €|20 páginas|Rubio; Edición: 1 (1 de enero de 1996)|Español|8485109279|978-8485109272||
Sapiens. De animales a dioses: Breve historia de la humanidad|Yuval Noah Harari|4,5 de un máximo de 5 estrellas|1.944|Tapa blanda|18,90 €|496 páginas|DEBATE; Edición: 001 (7 de octubre de 2015)|Español|8499926223|978-8499926223||
Un cuento perfecto (Femenino singular)|Elísabet Benavent|4,3 de un máximo de 5 estrellas|189|Tapa blanda|17,00 €|640 páginas|SUMA; Edición: 001 (20 de febrero de 2020)|Español|8491291911|978-8491291916||
Con Amor: Libro De Colorear Para Adultos|Papeterie Bleu|4,5 de un máximo de 5 estrellas|181|Tapa blanda|6,60 €|70 páginas|CreateSpace Independent Publishing Platform (5 de junio de 2016)|Español|1533575231|978-1533575234||
Libro de colorear para niños: Formas Letras Números: de 1 a 4 años: Un divertido cuaderno de actividades para niños y niñas de preescolar|June & Lucy Kids|4,4 de un máximo de 5 estrellas|42|Tapa blanda|5,99 €|96 páginas|June & Lucy (18 de julio de 2019)|Español|1646080041|978-1646080045||
Aprendamos el abecedario: Libro para repasar las letras: +3 años: Cuaderno de actividades para practicar la escritura y vocabulario básico con ... comprensión lectora y expresión escrita)|June & Lucy Kids|4,9 de un máximo de 5 estrellas|14|Tapa blanda|5,99 €|114 páginas|June & Lucy (15 de agosto de 2019)|Español|1646080386|978-1646080380||
La guía definitiva de caligrafía moderna y lettering a mano para principiantes: Aprende a dibujar letras: un cuaderno de actividades que incluye consejos, técnicas, páginas para practicar y proyectos|June & Lucy|4,5 de un máximo de 5 estrellas|18|Tapa blanda|6,64 €|108 páginas|June & Lucy (16 de enero de 2020)|Español|1646081536|978-1646081530||
Padre Rico, padre Pobre: Qué les enseñan los ricos a sus hijos acerca del dinero, ¡que los pobres y la clase media no!|Robert T. Kiyosaki|4,5 de un máximo de 5 estrellas|1.763|Tapa blanda|8,50 €|264 páginas|DEBOLSILLO; Edición: 001 (4 de febrero de 2016)|Español|9788466332125|978-8466332125||
Destroza este diario. Ahora a todo color (Libros Singulares)|Keri Smith|4,7 de un máximo de 5 estrellas|567|Tapa blanda|10,40 €|224 páginas|Ediciones Paidós (19 de septiembre de 2017)|Español|8449333733|978-8449333736||
Busca Dinosaurios|Pere Rovira|4,6 de un máximo de 5 estrellas|543|Tapa dura|4,70 €|32 páginas|Tikal-Susaeta; Edición: 1 (10 de mayo de 2004)|Español|8430537813|978-8430537815||6 años y más
¿Puedo mirar tu pañal? (Libros de cartón)|Guido van Genechten|4,8 de un máximo de 5 estrellas|702|Cómic|11,35 €||EDICIONES SM (11 de marzo de 2009)|Español|8467530693|978-8467530698||3 años y más
Naturaleza Viva: Libro De Colorear Para Adultos: Volume 1|Papeterie Bleu|4,7 de un máximo de 5 estrellas|216|Tapa blanda|6,23 €|82 páginas|Gray & Gold Publishing (17 de marzo de 2017)|Español|1640010386|978-1640010383||
La ovejita que vino a cenar|Steve Smallman|4,8 de un máximo de 5 estrellas|595|Tapa dura|13,25 €|32 páginas|BEASCOA; Edición: 001 (5 de octubre de 2007)|Español|8448824547|978-8448824549||4 - 8 años
El monje que vendió su Ferrari: Una fábula espiritual (Clave)|Robin Sharma|4,6 de un máximo de 5 estrellas|731|Tapa blanda|8,50 €|224 páginas|Debolsillo; Edición: 001 (29 de octubre de 2010)|Español|8499087124|978-8499087122||
De mayor quiero ser... feliz: 6 cuentos para potenciar la positividad y autoestima de los niños (Emociones, valores y hábitos)|Anna Morato García|4,8 de un máximo de 5 estrellas|848|Tapa dura|17,05 €|144 páginas|BEASCOA; Edición: 001 (10 de mayo de 2018)|Español|8448850610|978-8448850616||4 años y más
Excursiones (Busca y encuentra)|Todolibro|4,6 de un máximo de 5 estrellas|141|Tapa dura|1,89 €|10 páginas|TODOLIBRO; Edición: 1 (24 de junio de 2019)|Español|849037676X|978-8490376768||2 años y más
1984 (Contemporánea)|George Orwell|4,7 de un máximo de 5 estrellas|832|Tapa blanda|8,50 €|352 páginas|DEBOLSILLO; Edición: 009 (7 de marzo de 2013)|Español|8499890946|978-8499890944||
El día que se perdió la cordura (Best Seller)|Javier Castillo|4,2 de un máximo de 5 estrellas|1.801|Tapa blanda|9,45 €|456 páginas|DEBOLSILLO; Edición: 001 (9 de mayo de 2019)|Español|8466346120|978-8466346122||
Los compas y el diamantito legendario (4You2)|El Trollino|4,8 de un máximo de 5 estrellas|823|Tapa blanda|12,25 €|240 páginas|Editorial Planeta (23 de octubre de 2018)|Español|8427044712|978-8427044715||8 años y más
Adivinanzas para leer antes de dormir (Adivina adivinanza)|Ana Mª Cobos Obrero|4,7 de un máximo de 5 estrellas|164|Tapa dura|10,40 €|256 páginas|BEASCOA; Edición: 001 (16 de octubre de 2014)|Español|8448840577|978-8448840570||4 - 6 años
Un inspirador libro de colorear para adultos: Si la vida te da un palo, hazte una escoba y echa a volar|Papeterie Bleu|4,7 de un máximo de 5 estrellas|257|Tapa blanda|6,59 €|76 páginas|Gray & Gold Publishing (27 de mayo de 2017)|Español|1640010947|978-1640010949||
Rubio MAY - Cuaderno mayúsculas: 1 (Mayúsculas RUBIO)|Enrique Rubio|4,6 de un máximo de 5 estrellas|41|Tapa blanda|3,84 €|24 páginas|Rubio; Edición: 1 (1 de julio de 2011)|Español|8489773769|978-8489773769||
Leer con el Método Montessori: Cuaderno de actividades con letras, tarjetas y recortables|Julia Palmarola|5,0 de un máximo de 5 estrellas|6|Tapa blanda|9,98 €|128 páginas|Independently published (24 de agosto de 2019)|Español|1688169296|978-1688169296||
La suerte de los idiotas|Roberto Martínez Guzmán|4,0 de un máximo de 5 estrellas|188|Tapa blanda|14,90 €|289 páginas|Independently published (21 de mayo de 2019)|Español|1096571102|978-1096571100||
Ejercicios de cálculo 6-7 años (Aprendo jugando)|Anita Engelen|4,6 de un máximo de 5 estrellas|141|Tapa blanda|4,27 €|32 páginas|Combel Editorial; Edición: 1 (1 de febrero de 2011)|Español|8498257115|978-8498257113||
Un libro de colorear para adultos: He decidido usar el sarcasmo porque matar es ilegal|Papeterie Bleu|4,5 de un máximo de 5 estrellas|336|Tapa blanda|6,99 €|76 páginas|Gray & Gold Publishing (16 de mayo de 2017)|Español|1640010882|978-1640010888||
Crea tu propio cómic: 100 originales plantillas de cómics en blanco para adultos, adolescentes y niños|Papeterie Bleu|4,0 de un máximo de 5 estrellas|15|Tapa blanda|3,79 €|102 páginas|Gray & Gold Publishing (27 de noviembre de 2019)|Español|1700809806|978-1700809803||
Primeros ejercicios de escritura 4-5 años (Aprendo jugando)|Anita Engelen|4,3 de un máximo de 5 estrellas|115|Tapa blanda|4,27 €|32 páginas|Combel Editorial; Edición: 1 (1 de febrero de 2010)|Español|8498255147|978-8498255140||4 años y más
Estrellas en Nueva York (Karina & Marina 3)|Karina & Marina|4,6 de un máximo de 5 estrellas|3|Tapa dura|14,20 €|192 páginas|MONTENA; Edición: 001 (19 de marzo de 2020)|Español|8417922822|978-8417922825||7 años y más
Los Compas escapan de la prisión (4You2)|El Trollino|4,8 de un máximo de 5 estrellas|378|Tapa blanda|12,25 €|224 páginas|Planeta; Edición: 1 (22 de octubre de 2019)|Español|842704609X|978-8427046092||8 años y más
Unicornio Libro de Colorear para Niños de 4 a 8 Años|Búho Libros|4,7 de un máximo de 5 estrellas|14|Tapa blanda|3,79 €|101 páginas|Independently published (25 de noviembre de 2019)|Español|171128324X|978-1711283241||
Rubio C-6 - Cuaderno caligrafía|Ramón Rubio Silvestre|4,9 de un máximo de 5 estrellas|30|Tapa blanda|2,84 €|20 páginas|Rubio; Edición: 1 (1 de enero de 1996)|Español|8485109295|978-8485109296||
Naturaleza Viva 2: Libro De Colorear Para Adultos|Papeterie Bleu|4,6 de un máximo de 5 estrellas|66|Tapa blanda|6,23 €|68 páginas|Gray & Gold Publishing (20 de noviembre de 2017)|Español|1640011560|978-1640011564||
El Club de los Raros (El Barco de Vapor Naranja)|Jordi Sierra i Fabra|4,7 de un máximo de 5 estrellas|151|Tapa blanda|8,26 €|96 páginas|SM (23 de septiembre de 2015)|Español|8467582685|978-8467582680||8 - 10 años
Piense y hágase rico (EXITO)|NAPOLEON HILL|4,5 de un máximo de 5 estrellas|719|Tapa blanda|6,60 €|320 páginas|EDICIONES OBELISCO S.L.; Edición: 1 (6 de febrero de 2012)|Español|8497778219|978-8497778213||
Aprendamos los números: Libro para repasar los números: 3+ años: Cuaderno de actividades para practicar los trazos de los números con temática de ... (de 3 a 5 años, matemáticas y escritura)|June & Lucy Kids|5,0 de un máximo de 5 estrellas|10|Tapa blanda|5,69 €|86 páginas|June & Lucy (22 de septiembre de 2019)|Español|1646080556|978-1646080557||
Dinosaurios Libro de Colorear para Niños de 4 a 8 Años|Búho Libros|5,0 de un máximo de 5 estrellas|6|Tapa blanda|3,79 €|67 páginas|Independently published (25 de noviembre de 2019)|Español|1711515450|978-1711515458|| - 12 años
Un beso antes de dormir (Libros de cartón)|Teresa Tellechea|4,3 de un máximo de 5 estrellas|310|Tapa dura|9,45 €|22 páginas|EDICIONES SM (18 de octubre de 2012)|Español|8467556641|978-8467556643||3 años y más
Elmer (Elmer. Álbum ilustrado)|David McKee|4,8 de un máximo de 5 estrellas|421|Tapa dura|11,35 €|40 páginas|BEASCOA; Edición: 001 (27 de junio de 2018)|Español|8448823281|978-8448823283||4 - 6 años
Mi cuaderno de actividades: 4 - 5 años (edición exclusiva) (Rubio. El arte de aprender)|Cuadernos Rubio Cuadernos Rubio|4,6 de un máximo de 5 estrellas|29|Artículos de papelería|9,40 €||Ilustrados; Edición: 001 (7 de mayo de 2015)|Español|8416220581|978-8416220588||4 - 6 años
El cerebro del niño explicado a los padres (Plataforma Actual)|Álvaro Bilbao|4,8 de un máximo de 5 estrellas|871|Tapa blanda|17,10 €|296 páginas|Plataforma Editorial; Edición: Varía (9 de septiembre de 2015)|Español|8416429561|978-8416429561||
Pepo y su orinal (Castellano - A PARTIR DE 0 AÑOS - PROYECTO DE 0 A 3 AÑOS - Libros emocionales)|Sibylle Delacroix|4,6 de un máximo de 5 estrellas|187|Tapa dura|6,60 €|32 páginas|Grupo Anaya Publicaciones Generales; Edición: edición (31 de marzo de 2016)|Español|8469604899|978-8469604892|| años y más
Superlío sobre ruedas (El mundo de Clodett 4)|Clodett|4,1 de un máximo de 5 estrellas|11|Tapa dura|14,20 €|192 páginas|MONTENA; Edición: 001 (20 de febrero de 2020)|Español|8417922784|978-8417922788||7 años y más
Mi Gran Libro de las Diferencias - 40 páginas - más de 300 diferencias - Libro de juegos: encuentra las diferencias - Juego de los 7 errores - Dibujos ... - para niños de 5 a 8 años, niña y niño|BlueCat Editions|5,0 de un máximo de 5 estrellas|2|Tapa blanda|6,55 €|40 páginas|Independently published (17 de febrero de 2020)|Español||979-8615001376||
Encantado de conocerme (edición ampliada) (Clave)|Borja Vilaseca|4,5 de un máximo de 5 estrellas|318|Tapa blanda|9,45 €|224 páginas|DEBOLSILLO; Edición: 001 (12 de septiembre de 2019)|Español|8466348891|978-8466348898||
Isadora Moon va a una fiesta de pijamas (Isadora Moon)|Harriet Muncaster|4,8 de un máximo de 5 estrellas|94|Tapa blanda|9,45 €|128 páginas|ALFAGUARA; Edición: 001 (14 de marzo de 2019)|Español|8420433985|978-8420433981||
Cómo dibujar los personajes de Harry para niños: Aprende a dibujar más de 40 de tus personajes favoritos paso a paso (no oficial)|Joydom Coloring|3,9 de un máximo de 5 estrellas|7|Tapa blanda|6,64 €|131 páginas|Independently published (17 de diciembre de 2019)|Español|1676446478|978-1676446477||
Invisible (Nube de Tinta)|Eloy Moreno|4,8 de un máximo de 5 estrellas|629|Tapa blanda|15,15 €|304 páginas|Nube de Tinta; Edición: 001 (1 de febrero de 2018)|Español|8416588430|978-8416588435||
El monstruo de colores (edición pop-up) (POP UP  Cuentos flamboyant)|Anna Llenas Serra|4,9 de un máximo de 5 estrellas|681|Tapa dura|21,75 €|22 páginas|Editorial Flamboyant, S.L.; Edición: 1 (15 de septiembre de 2014)|Español|8494157825|978-8494157820||
Los 7 hábitos de la gente altamente efectiva. Ed. revisada y actualizada: La revolución ética en la vida cotidiana y en la empresa (Prácticos)|Stephen R. Covey|4,4 de un máximo de 5 estrellas|385|Tapa blanda|9,45 €|480 páginas|Booket (8 de septiembre de 2015)|Español|8408143980|978-8408143987||
Los Futbolísimos.El misterio de los siete goles en propia puerta|Roberto Santiago|4,8 de un máximo de 5 estrellas|207|Tapa blanda|11,35 €|288 páginas|SM (16 de mayo de 2013)|Español|8467552085|978-8467552089||
Mi primer libro para colorear ANIMALES — A partir de 1 año — Libro de dibujar para niños y niñas con 50 motivos de animales, libro para garabatear: ... en blanco: Libro de dibujo para niño y niña|Marian Jantzen|4,6 de un máximo de 5 estrellas|36|Tapa blanda|5,99 €|109 páginas|Independently published (7 de agosto de 2019)|Español|1080814213|978-1080814213||
¿A qué sabe la luna? (libros para soñar)|Michael Greniec|4,7 de un máximo de 5 estrellas|573|Tapa dura|14,25 €|36 páginas|Kalandraka; Edición: 2 (13 de agosto de 2007)|Español|8484645649|978-8484645641||5 - 6 años
El poder de confiar en ti: Aprende a tener fe en ti y conseguirás lo que quieras (No Ficción)|Curro Cañete|4,6 de un máximo de 5 estrellas|365|Tapa blanda|16,05 €|256 páginas|Planeta (19 de marzo de 2019)|Español|8408205633|978-8408205630||
En los zapatos de Valeria (Saga Valeria 1)|Elísabet Benavent|4,6 de un máximo de 5 estrellas|199|Libro de bolsillo|9,45 €||Debolsillo; Edición: 001 (17 de septiembre de 2015)|Español|8490628971|978-8490628973||
Diario De Greg 3: ¡Esto Es El Colmo!: 003|Jeff Kinney|4,7 de un máximo de 5 estrellas|293|Tapa dura|14,25 €|224 páginas|Molino (12 de junio de 2014)|Español|8427200072|978-8427200074||8 - 12 años
Los Futbolísimos.El misterio del portero fantasma: 3|Roberto Santiago|4,6 de un máximo de 5 estrellas|172|Tapa blanda|11,35 €|312 páginas|EDICIONES SM (19 de febrero de 2014)|Español|8467569166|978-8467569162||10 - 12 años
Aprendiendo a repasar: Letras Números Formas/Libro de actividades para niños de 3 a 6 años|Niños inteligentes|||Tapa blanda|4,74 €|100 páginas|Independently published (17 de marzo de 2020)|Español||979-8627264752|| - 8 años
Las divertidas aventuras de las letras (Castellano - A PARTIR DE 3 AÑOS - LIBROS DIDÁCTICOS - Las divertidas aventuras de las letras y los números)|Varios autores|4,8 de un máximo de 5 estrellas|302|Tapa dura|18,95 €|408 páginas|Grupo Anaya Publicaciones Generales; Edición: edición (11 de noviembre de 2010)|Español|8421685120|978-8421685129||3 - 6 años
Toda la verdad de mis mentiras (Best Seller)|Elísabet Benavent|4,5 de un máximo de 5 estrellas|374|Tapa blanda|9,45 €|544 páginas|DEBOLSILLO; Edición: 001 (6 de febrero de 2020)|Español|8466349863|978-8466349864||
Diario de Greg 2 : la ley de Rodrick: 002|Jeff Kinney|4,7 de un máximo de 5 estrellas|255|Tapa dura|14,25 €|240 páginas|Molino (22 de enero de 2009)|Español|8498674018|978-8498674019||8 - 12 años
Loba negra (La Trama)|Juan Gómez-Jurado|4,7 de un máximo de 5 estrellas|1.729|Tapa dura|19,85 €|552 páginas|B (Ediciones B); Edición: 001 (24 de octubre de 2019)|Español|8466666494|978-8466666497||
Y Julia retó a los dioses (Autores Españoles e Iberoamericanos)|Santiago Posteguillo|4,5 de un máximo de 5 estrellas|34|Tapa dura|21,75 €|792 páginas|Editorial Planeta (3 de marzo de 2020)|Español|8408224697|978-8408224693||
Aprende a escribir los números: Ejercicios de escritura: números y cuentas: Preescolar y Primaria: “D” de DINOSAURIO: Cuaderno de actividades para ... y niñas de educación infantil (3 a 5 años)|June & Lucy Kids|4,5 de un máximo de 5 estrellas|7|Tapa blanda|5,69 €|86 páginas|June & Lucy (14 de octubre de 2019)|Español|1646080750|978-1646080755||
Lecturas comprensivas RUBIO +7: 2|SLU ENRIQUE RUBIO POLO|4,3 de un máximo de 5 estrellas|23|Tapa blanda|1,85 €|40 páginas|Ediciones Técnicas Rubio - Editorial Rubio; Edición: 1 (28 de febrero de 2018)|Español|8494727575|978-8494727573||
101 casos extraordinarios para resolver en 5 minutos (Serie ¿Quién ha sido? 1)|Varios autores|4,4 de un máximo de 5 estrellas|136|Tapa blanda|12,30 €|192 páginas|Alfaguara Infantil Y Juvenil; Edición: 001 (14 de mayo de 2015)|Español|8420488283|978-8420488288||7 años y más
Diario de Greg 4: días de perros: 000|Jeff Kinney|4,6 de un máximo de 5 estrellas|262|Tapa dura|14,25 €|218 páginas|Molino (25 de mayo de 2010)|Español|9788427200302|978-8427200302||8 - 12 años
Dia De Los Muertos: Libro De Colorear Para Adultos: Calaveras de azúcar (Día de los Muertos)|Papeterie Bleu|4,7 de un máximo de 5 estrellas|80|Tapa blanda|6,59 €|70 páginas|CreateSpace Independent Publishing Platform (2 de junio de 2016)|Español|1533508240|978-1533508249||
Manual para defenderte de una feminazi: y otros asuntos de alta necesidad|Cristina Seguí|3,9 de un máximo de 5 estrellas|336|Tapa blanda|16,05 €|198 páginas|Editorial Samarcanda (5 de marzo de 2019)|Español|8417672451|978-8417672454||
Iniciación a la lectura RUBIO +5: 2|SLU ENRIQUE RUBIO POLO|4,5 de un máximo de 5 estrellas|103|Tapa blanda|1,85 €|28 páginas|Ediciones Técnicas Rubio - Editorial Rubio; Edición: 1 (28 de febrero de 2017)|Español|8494727559|978-8494727559||
Te quiero un montón (Castellano - A PARTIR DE 3 AÑOS - CUENTOS - ChiquiCuentos)|Juan Carlos Chandro|4,8 de un máximo de 5 estrellas|462|Tapa dura|5,65 €|32 páginas|Grupo Anaya Publicaciones Generales; Edición: edición (3 de marzo de 2016)|Español|846960600X|978-8469606001||3 años y más
Todas para una (Serie Ideas en la casa del árbol. Volumen 1): Novela infantil-juvenil. Lectura de 8-9 a 11-12 años. Literatura Ficción. Libros para niñas y niños. (Spanish Edition)|W. Ama|4,6 de un máximo de 5 estrellas|225|Tapa blanda|9,95 €|173 páginas|Independently published (7 de junio de 2018)|Español|1973477327|978-1973477327||
Una historia de España (Hispánica)|Arturo. Pérez-Reverte|4,5 de un máximo de 5 estrellas|819|Tapa dura|17,95 €|256 páginas|ALFAGUARA; Edición: 001 (14 de marzo de 2019)|Español|8420438170|978-8420438177||
Patria (Andanzas)|Fernando Aramburu|4,6 de un máximo de 5 estrellas|2.014|Tapa blanda|21,75 €|648 páginas|Tusquets Editores S.A.; Edición: 01 (6 de septiembre de 2016)|Español|849066319X|978-8490663196||
Cuentos Clásicos (Cuentos clásicos con pictogramas)|Susaeta Ediciones|4,8 de un máximo de 5 estrellas|11|Tapa dura|2,80 €|24 páginas|SUSAETA; Edición: 1 (9 de enero de 2019)|Español|8467765321|978-8467765328||4 años y más
La madre de Frankenstein (Andanzas)|Almudena Grandes|4,6 de un máximo de 5 estrellas|112|Tapa blanda|21,75 €|560 páginas|Planeta (4 de febrero de 2020)|Español|8490667802|978-8490667804||
El Principito (Infantil)|Antoine De Saint Exupery|4,7 de un máximo de 5 estrellas|1.079|Tapa blanda|5,65 €|96 páginas|Salamandra; Edición: 036 (18 de enero de 2008)|Español|8498381495|978-8498381498||7 - 13 años
Harry Potter y la Piedra Filosofal: 1|J.K. Rowling|4,7 de un máximo de 5 estrellas|1.211|Tapa dura|14,25 €|256 páginas|Salamandra; Edición: 081 (25 de marzo de 1999)|Español|8478884459|978-8478884452||9 años y más
Isadora Moon se mete en un lío (Isadora Moon)|Harriet Muncaster|4,7 de un máximo de 5 estrellas|146|Tapa blanda|9,45 €|128 páginas|ALFAGUARA; Edición: 001 (5 de octubre de 2017)|Español|8420486329|978-8420486321||7 años y más
Los Futbolísimos.El misterio de los árbitros dormidos: 1|Roberto Santiago|4,7 de un máximo de 5 estrellas|205|Tapa blanda|11,35 €|296 páginas|SM (16 de mayo de 2013)|Español|8467561351|978-8467561357||
100 Animal Mandalas Para Colorear: Libro para colorear para adultos con patrones de animales y mandalas (¡Leones, elefantes, búhos, caballos, perros, gatos y muchos más!)|Creative Mandala|4,2 de un máximo de 5 estrellas|5|Tapa blanda|8,39 €|204 páginas|Independently published (11 de marzo de 2020)|Español||979-8623706577||
Mandalas Complejos: Libro De Colorear Para Adultos|Papeterie Bleu|4,5 de un máximo de 5 estrellas|260|Tapa blanda|6,59 €|86 páginas|CreateSpace Independent Publishing Platform (30 de junio de 2016)|Español|1535004150|978-1535004152||
Aprender a escribir números: Aprender a escribir los numeros para niños - Libro infantiles para la escuela primaria - Juego educativo matemàticas - Cuentos infantiles|Preschool kidilix|4,8 de un máximo de 5 estrellas|12|Tapa blanda|9,49 €|96 páginas|Independently published (26 de septiembre de 2019)|Español|1695493826|978-1695493827||
Los Futbolísimos.El misterio del robo imposible|Roberto Santiago|4,7 de un máximo de 5 estrellas|91|Tapa blanda|11,35 €|336 páginas|SM (5 de noviembre de 2014)|Español|8467574151|978-8467574159||10 - 12 años
Mi cuaderno de actividades: 5 - 6 años (edición exclusiva) (Rubio. El arte de aprender)|Cuadernos Rubio Cuadernos Rubio|4,4 de un máximo de 5 estrellas|16|Artículos de papelería|9,40 €||Ilustrados; Edición: 001 (7 de mayo de 2015)|Español|8416220603|978-8416220601||4 - 6 años
El infinito en un junco: La invención de los libros en el mundo antiguo: 105 (Biblioteca de Ensayo / Serie mayor)|Irene Vallejo|4,8 de un máximo de 5 estrellas|66|Tapa blanda|23,70 €|452 páginas|Siruela; Edición: 10 (23 de marzo de 2020)|Español|8417860797|978-8417860790||
Los Futbolísimos.El misterio del castillo embrujado|Roberto Santiago|4,8 de un máximo de 5 estrellas|92|Tapa blanda|11,35 €|320 páginas|SM; Edición: 1 (8 de abril de 2015)|Español|846757769X|978-8467577693||10 - 12 años
El poder del ahora: una guía para la iluminación espiritual (Perenne)|Eckhart Tolle|4,5 de un máximo de 5 estrellas|1.260|Tapa blanda|9,50 €|220 páginas|Gaia; Edición: 16 (2013)|Español|8484452069|978-8484452065||
Stilton: En el reino de la fantasía: ¡Libro con olores!: 2 (Geronimo Stilton)|Geronimo Stilton|4,5 de un máximo de 5 estrellas|179|Tapa dura|18,95 €|384 páginas|Planeta; Edición: decima (3 de noviembre de 2005)|Español|8408060996|978-8408060994||7 años y más
Búnker: Memorias de encierro, rimas y tiburones blancos.|Toteking|4,9 de un máximo de 5 estrellas|24|Tapa dura|18,90 €|232 páginas|Blackie Books (4 de marzo de 2020)|Español|8417552812|978-8417552817||
Diario de Greg 14. Arrasa con todo|Jeff Kinney|4,8 de un máximo de 5 estrellas|253|Tapa dura|14,25 €|224 páginas|RBA Molino (6 de noviembre de 2019)|Español|8427216742|978-8427216747||
Rubio C-7 - Cuaderno caligrafía|Ramón Rubio Silvestre|4,8 de un máximo de 5 estrellas|27|Tapa blanda|2,84 €|20 páginas|Rubio; Edición: 1 (1 de enero de 1996)|Español|8485109309|978-8485109302||
El Pollo Pepe + muñeco (El pollo Pepe y sus amigos)|Nick Denchfield|4,8 de un máximo de 5 estrellas|430|Tapa dura|16,15 €|12 páginas|S.M. Editorial (15 de noviembre de 2012)|Español|8467559160|978-8467559163||1 - 2 años
Lecturas comprensivas RUBIO +6: 2|SLU ENRIQUE RUBIO POLO|4,6 de un máximo de 5 estrellas|56|Tapa blanda|1,85 €|32 páginas|Ediciones Técnicas Rubio - Editorial Rubio; Edición: 1 (28 de febrero de 2018)|Español|8494727567|978-8494727566||
